"","mgi_symbol","ensembl_gene_id"
"466","Sema4a","ENSMUSG00000028064"
"467","Gpatch4","ENSMUSG00000028069"
"468","Cd1d1","ENSMUSG00000028076"
"469","Acp6","ENSMUSG00000028093"
"470","Polr3c","ENSMUSG00000028099"
"471","Nfkb1","ENSMUSG00000028163"
"472","Bcl10","ENSMUSG00000028191"
"473","Col24a1","ENSMUSG00000028197"
"474","Nbn","ENSMUSG00000028224"
"475","Lmo4","ENSMUSG00000028266"
"476","Gbp3","ENSMUSG00000028268"
"477","Gbp2","ENSMUSG00000028270"
"478","Akirin2","ENSMUSG00000028291"
"479","Exosc3","ENSMUSG00000028322"
"480","Tnfsf8","ENSMUSG00000028362"
"481","Ptbp3","ENSMUSG00000028382"
"482","B4galt1","ENSMUSG00000028413"
"483","Stoml2","ENSMUSG00000028455"
"484","Rps6","ENSMUSG00000028495"
"485","Pde4b","ENSMUSG00000028525"
"486","Jak1","ENSMUSG00000028530"
"487","Artn","ENSMUSG00000028539"
"488","Dock7","ENSMUSG00000028556"
"489","Ctps","ENSMUSG00000028633"
"490","Prdx1","ENSMUSG00000028691"
"491","Tal1","ENSMUSG00000028717"
"492","Ddost","ENSMUSG00000028757"
"493","Tinagl1","ENSMUSG00000028776"
"494","Rnf19b","ENSMUSG00000028793"
"495","Csf3r","ENSMUSG00000028859"
"496","Wasf2","ENSMUSG00000028868"
"497","Fgr","ENSMUSG00000028874"
"498","Srsf4","ENSMUSG00000028911"
"499","Kcnab2","ENSMUSG00000028931"
"500","Rpl22","ENSMUSG00000028936"
"501","Masp2","ENSMUSG00000028979"
"502","Kmt2e","ENSMUSG00000029004"
"503","Cd38","ENSMUSG00000029084"
"504","Add1","ENSMUSG00000029106"
"505","Rhoh","ENSMUSG00000029204"
"506","Tec","ENSMUSG00000029217"
"507","Pdgfra","ENSMUSG00000029231"
"508","Rest","ENSMUSG00000029249"
"509","Stap1","ENSMUSG00000029254"
"510","Tgfbr3","ENSMUSG00000029287"
"511","Gbp9","ENSMUSG00000029298"
"512","Spp1","ENSMUSG00000029304"
"513","Cxcl5","ENSMUSG00000029371"
"514","Ppbp","ENSMUSG00000029372"
"515","Pf4","ENSMUSG00000029373"
"516","Cxcl15","ENSMUSG00000029375"
"517","Cxcl3","ENSMUSG00000029379"
"518","Cxcl1","ENSMUSG00000029380"
"519","Cxcl9","ENSMUSG00000029417"
"520","Vps33a","ENSMUSG00000029434"
"521","P2rx7","ENSMUSG00000029468"
"522","Anxa3","ENSMUSG00000029484"
"523","Rab35","ENSMUSG00000029518"
"524","Mad1l1","ENSMUSG00000029554"
"525","Oasl2","ENSMUSG00000029561"
"526","Ung","ENSMUSG00000029591"
"527","Oas1b","ENSMUSG00000029605"
"528","Eif2ak1","ENSMUSG00000029613"
"529","Flt1","ENSMUSG00000029648"
"530","Irf5","ENSMUSG00000029771"
"531","Herc6","ENSMUSG00000029798"
"532","Zc3hav1","ENSMUSG00000029826"
"533","Tcaf2","ENSMUSG00000029851"
"534","Clec5a","ENSMUSG00000029915"
"535","Foxp1","ENSMUSG00000030067"
"536","Ret","ENSMUSG00000030110"
"537","Ptms","ENSMUSG00000030122"
"538","Clec4e","ENSMUSG00000030142"
"539","Klrk1","ENSMUSG00000030149"
"540","Clec1b","ENSMUSG00000030159"
"541","Olr1","ENSMUSG00000030162"
"542","Ptpro","ENSMUSG00000030223"
"543","Abcc9","ENSMUSG00000030249"
"544","Atg7","ENSMUSG00000030314"
"545","Ltbr","ENSMUSG00000030339"
"546","Clec2i","ENSMUSG00000030365"
"547","Ercc2","ENSMUSG00000030400"
"548","Siglecg","ENSMUSG00000030468"
"549","Chrna7","ENSMUSG00000030525"
"550","Crtc3","ENSMUSG00000030527"
"551","Blm","ENSMUSG00000030528"
"552","Cib1","ENSMUSG00000030538"
"553","Ctsc","ENSMUSG00000030560"
"554","Tyrobp","ENSMUSG00000030579"
"555","Sipa1l3","ENSMUSG00000030583"
"556","Ddias","ENSMUSG00000030641"
"557","Rab6a","ENSMUSG00000030704"
"558","Coro1a","ENSMUSG00000030707"
"559","Lat","ENSMUSG00000030742"
"560","Il4ra","ENSMUSG00000030748"
"561","Psma1","ENSMUSG00000030751"
"562","Itgam","ENSMUSG00000030786"
"563","Itgax","ENSMUSG00000030789"
"564","Pycard","ENSMUSG00000030793"
"565","Kat8","ENSMUSG00000030801"
"566","Itgal","ENSMUSG00000030830"
"567","Polr3e","ENSMUSG00000030880"
"568","Swap70","ENSMUSG00000031015"
"569","Fadd","ENSMUSG00000031077"
"570","Elf4","ENSMUSG00000031103"
"571","3830403N18Rik","ENSMUSG00000031125"
"572","Was","ENSMUSG00000031165"
"573","Ebp","ENSMUSG00000031168"
"574","Igbp1","ENSMUSG00000031221"
"575","Btk","ENSMUSG00000031264"
"576","Rps6ka3","ENSMUSG00000031309"
"577","Pir","ENSMUSG00000031379"
"578","Irak1","ENSMUSG00000031392"
"579","G6pdx","ENSMUSG00000031400"
"580","Cul4a","ENSMUSG00000031446"
"581","Gas6","ENSMUSG00000031451"
"582","Angpt2","ENSMUSG00000031465"
"583","Agpat5","ENSMUSG00000031467"
"584","Thsd1","ENSMUSG00000031480"
"585","Tnfsf13b","ENSMUSG00000031497"
"586","Arhgef7","ENSMUSG00000031511"
"587","Polb","ENSMUSG00000031536"
"588","Ikbkb","ENSMUSG00000031537"
"589","Kat6a","ENSMUSG00000031540"
"590","Ank1","ENSMUSG00000031543"
"591","Sfrp1","ENSMUSG00000031548"
"592","Adam9","ENSMUSG00000031555"
"593","Slc7a2","ENSMUSG00000031596"
